Latitude,Longitude,Time,Label,Location
53.480759,-2.242631,Mon Oct 05 08:30:23 +0000 2015,1,Manchester  England
52.119508,5.194365,Mon Oct 05 08:30:23 +0000 2015,1,U.K.
51.507351,-0.127758,Mon Oct 05 08:30:25 +0000 2015,1,London
36.169941,-115.139830,Mon Oct 05 08:30:32 +0000 2015,1,Las vegas
53.480759,-2.242631,Mon Oct 05 08:30:33 +0000 2015,1,Manchester
45.438384,10.991622,Mon Oct 05 08:30:33 +0000 2015,1,Verona  Italy
33.689060,-78.886694,Mon Oct 05 08:30:34 +0000 2015,1,Myrtle Beach SC
-6.917464,107.619123,Mon Oct 05 08:30:36 +0000 2015,1,Bandung
-27.471011,153.023449,Mon Oct 05 08:30:37 +0000 2015,1,Brisbane  Australia 
3.964758,98.462299,Mon Oct 05 08:30:43 +0000 2015,1,Tanjung Pura   Sumatera Utara
37.774929,-122.419415,Mon Oct 05 08:30:46 +0000 2015,1,San Francisco
53.576865,-2.428219,Mon Oct 05 08:30:46 +0000 2015,1,bolton
51.507351,-0.127758,Mon Oct 05 08:30:47 +0000 2015,1,London
24.299174,54.697277,Mon Oct 05 08:30:48 +0000 2015,1,Abu Dhabi
53.408371,-2.991573,Mon Oct 05 08:30:49 +0000 2015,1,Liverpool
35.373292,-119.018713,Mon Oct 05 08:30:50 +0000 2015,1,Bakersfield  California
-6.917464,107.619123,Mon Oct 05 08:30:52 +0000 2015,1,Bandung  West Java  Indonesia
52.772099,-1.206166,Mon Oct 05 08:30:58 +0000 2015,1,Loughborough
33.836081,-81.163725,Mon Oct 05 08:31:06 +0000 2015,1,South Carolina  USA
14.412993,120.973679,Mon Oct 05 08:31:11 +0000 2015,1,bacoor city
-26.116377,28.009826,Mon Oct 05 08:31:18 +0000 2015,1,Blairgowrie South Africa
24.299174,54.697277,Mon Oct 05 08:31:18 +0000 2015,1,Abu Dhabi
53.552630,-1.479726,Mon Oct 05 08:31:27 +0000 2015,1,Barnsley  UK
24.299174,54.697277,Mon Oct 05 08:31:33 +0000 2015,1,Abu Dhabi
33.836081,-81.163725,Mon Oct 05 08:31:37 +0000 2015,1,South Carolina USA
-3.731862,-38.526670,Mon Oct 05 08:31:37 +0000 2015,1,Fortaleza
47.613377,6.131422,Mon Oct 05 08:31:37 +0000 2015,1,Noidans les Vesoul
51.441642,5.469722,Mon Oct 05 08:31:39 +0000 2015,1,Eindhoven  Netherlands
6.524379,3.379206,Mon Oct 05 08:31:39 +0000 2015,1,Lagos  Nigeria
